,pk,pre_nes_uid,Gender,DOB,DOB_reg,research_group,birth_place,birth_place_lat,birth_place_lng,current_residence_in_targetplace,current_residence,current_residence_lat,current_residence_lng,education_level,raised_in_targetplace,raised_place,generations_in_targetplace,time_away_from_targetplace,time_away_from_targetplace_elaboration,plan_to_live_in_targetplace,mother_tongue,mother_tongue_other,mother_tongue_itsComplicated,how_long_target,rate_target_speaking,rate_target_listening,formal_education_in_target,formal_education_elaboration,rate_polish_speaking,rate_polish_listening,know_other_languages,addLang_1,AL1c,addLang_1_rate_speaking,addLang_1_rate_listening,addLang_2,AL2c,addLang_2_rate_speaking,addLang_2_rate_listening,addLang_3,AL3c,addLang_3_rate_speaking,addLang_3_rate_listening,addLang_4,AL4c,addLang_4_rate_speaking,addLang_4_rate_listening,addLang_5,AL5c,addLang_5_rate_speaking,addLang_5_rate_listening,target_used_in_home,number_target_interlocuters,n_target_inter_reg,frequency_speaking_target,target_study_time,use_target_with_grandparents,use_target_with_parents,use_target_with_siblings,use_target_with_children,use_target_with_familyGathering,use_target_with_friends,use_target_with_neighbors,use_target_with_coworkers,use_target_with_businessActivities,use_target_with_romanticPartner,use_target_with_church,use_target_with_healthCare,use_target_with_shopping,use_target_with_socialMedia,use_target_with_elaboration,target_internal_dialogue,target_dreams,foreign_target_users,target_language_how_long,target_language_motivation,target_langauge_engagement,target_culture_engagement,parents_support_language_engagement,parents_support_culture_engagement,family_against_language_engagement,peers_against_langauge_engagement,people_against_elaboration,pride_speaking_target,shame_speaking_target,avoids_target,avoids_target_elaboration,target_speaker_criticism,locals_should_target,target_taught_to_schoolChildren,target_transmission_important,anything_to_add
0,12,,male,1992-10-07,1992-10,csb,Wałcz,53.273004,16.467365,TRUE,Gdynia,54.517778,18.5425,not finished Master,,W Złocieńcu,3+,True,,probably yes,polish,,,,8,8,none,Nie odebrałem formalnej edukacji w tym języku.,9,9,True,Angielski,English,7,8,Czeski,Czech,5,6,Białoruski,Belarusian,5,7,Niemiecki,German,4,6,Dolnołużycki,Lower Sorbian,5,7,never,100+,101,a few times per week,2-3 hours/week,never,never,never,unlikely,unlikely,very likely,maybe,likely,likely,maybe,never,maybe,likely,likely,,often,often,,12-13 lat,"Dawny język ziemi, z której pochodzę. Język przodków. Wewnętrzna potrzeba, żeby poznać język i kulturę Pomorza i Kaszub.",,5,they are neutral,they are neutral,no one,no one,,sometimes,never,False,Nie.,constructively,agree,agree,strongly agree,Njé.
1,16,,male,2000-10-16,2000-10,csb,Puck,54.718056,18.409167,TRUE,Rumia,54.564164,18.388891,not finished Bachelor,,Rumia,2,False,,probably yes,polish,,,,6,8,none,Nie odebrałem formalnej edukacji języka kaszubskiego,9,9,True,Angielski,English,8,9,Serbski,Serbian,5,7,Rosyjski,Russian,3,5,,,,,,,,,sometimes,10,10,a few times per week,8-9 hours/week,never,never,never,very likely,very unlikely,very likely,likely,likely,unlikely,maybe,never,unlikely,likely,always,,very often,very often,,± 6 lat,Obudził się we mnie pewien lokalny patriotyzm,,6,they don't like it,they don't like it,> one person,> one person,,always,sometimes,True,Wiele razy spotkałem się z różnymi wyzwiskami i innymi inwektywami z tego powodu,constructively,strongly agree,strongly agree,strongly agree,
2,19,,male,1991-07-10,1991-07,csb,Wejherowo,54.601667,18.238333,TRUE,Luzino,54.565692,18.108338,finished Bachelor,,Wejherowo,3+,False,,probably yes,polish,,,,7,8,none,"Jak najbardziej, ponieważ według mnie formalna edukacja, jako niespersonalizowana, jest umiarkowanie skuteczna. Kolektywne nauczanie nie jest w stanie wynieść odbiorcy nauki na poziom wyższy niż przeciętny, ponieważ poziom formalnej edukacji wyznacza przeciętną biegłość w danej dziedzinie. Jedynie samodzielna nauka jest w stanie nadgonić braki nauczania zbiorowego.",9,9,True,Angielski,English,7,7,Rosyjski,Russian,2,2,,,,,,,,,,,,,sometimes,3,3,rarely,1-2 hours/week,never,never,never,unlikely,never,likely,unlikely,very unlikely,very unlikely,never,unlikely,never,very unlikely,likely,Nie chcę,sometimes,never,,12 lat,"Poza zażywaniem tabaki, które chciałem uzupełnić o kontekst kulturowo-językowy, najważniejszą motywacją dla mnie była ciekawość i zdolności lingwistyczne. Teraz jest to chęć przekazania tożsamości swoim potomkom.",,5,they are neutral,they are neutral,no one,> one person,"Tak, są to przypadkowe osoby z internetu.",never,never,True,"W sumie chodzi o to, że odbiorcy by mnie nie zrozumieli, a rozmawiając pragnę być zrozumiany.",never,neutral,neutral,agree,"Tak. Każde pokolenie ma własny czas i swoje problemy i radości. Uważam, że istotne jest przekazanie kaszubskich tożsamości i języka przyszłym pokoleniom, o ile będą chętnymi odbiorcami. Nic na siłę. Do kolejnych pokoleń możemy dotrzeć jedynie aktywną promocją i przykładem."
3,20,,female,1983-02-27,1983-02,csb,Brodnica,52.407918,16.933467,TRUE,Reda,54.603333,18.349167,finished Master,,Brodnica/Bydgoszcz,0,True,Na Kaszubach mieszkam od 17 lat.,definitely yes,polish,,,,3,6,a2,"Uczę się od niecałych dwóch lat. Najwięcej nauczyłam się na studiach podyplomowych, jednak brauje mi po ich uończeniu okazji do mówienia i ćwiczenia umiejętności.",9,9,True,Angielski,English,4,7,,,,,,,,,,,,,,,,,sometimes,kilkoma,3,rarely,7-8 hours/week,never,never,never,never,never,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,maybe,"Nie jestem Kaszubką, więc nie rozmawiam z rodziną w tym języku. Mówię codziennie po kaszubsku, ale do dzieci, bo uczę tego języka. W kontaktach poza pracą  - rzadko. Udało mi się po kaszubsku rozmiawiać u wterynarza (Reda) i fryzjera (Gdynia).",sometimes,never,,koło 3lat,"Spodobało mi się, jak słyszałam ludzi mówiących po kaszubsku. Musiałam też nauczyć dzieci hymnu  kaszubskiego w pracy, na warsztatach Małego Kolberga na Pomorzu śpiewaliśmy w tym języku, spodobał mi się ten język, postanowiłam się go nauczyć. Im bardziej go poznawałam, tym bardziej mi się podobał i chciałam kontynuować naukę.",,5,they support it,they support it,one person,no one,Moja teściowa jest uprzedzona w stosunku do Kaszubów.,always,never,False,,constructively,strongly agree,agree,strongly agree,
4,21,,female,2000-04-01,2000-04,csb,Szubin,53.007478,17.73349,TRUE,Gdańsk,54.349722,18.653611,not finished Bachelor,,W Szubinie,NA,False,,definitely yes,polish,,,,6,9,none,Nie odebrałam formalnej edukacji,9,9,True,Angielski,English,5,7,,,,,,,,,,,,,,,,,never,15,15,everyday,<9 hours/week,never,unlikely,unlikely,very likely,never,unlikely,maybe,likely,maybe,maybe,never,never,maybe,likely,,very often,often,,Od roku,"Moją główną motywacją były moje studia. Dostałam się na nie przez przypadek, ale bardzo szybko zakochałam się zarówno w języku jak i kulturze Kaszub.",,5,they strongly support it,they strongly support it,no one,no one,"Nie ma w moim otoczeniu osób, które są przeciwko, za to jest bardzo dużo osób, które nie rozumieją mojego wyboru.",very often,never,False,,constructively,strongly agree,strongly agree,strongly agree,
5,22,90080700,male,1991-02-26,1991-02,csb,Wejherowo,54.601667,18.238333,FALSE,Warszawa,54.113036,17.332904,not finished Bachelor,,Lewinko,3+,False,,I don't know,complicated,,"mieszanką polskiego i kaszubskiego (językiem mającym kaszubską konstrukcję, słowa i wyrażenia, ale słowa były spolszczone)",,9,9,none,"Nie.

Nie odbyłem żadnej formalnej edukacji w języku kaszubskim, nauczyłem się go samodzielnie. Nie ukończyłem żadnego kursu, który potwierdziłby znajomość mojego języka. Do tego, nie wiem, czy w ogóle istnieje podział znajomości języka kaszubskiego w kategoriach wskazanych powyżej.",9,9,True,angielski,English,6,8,niemiecki,German,4,5,rosyjski,Russian,3,3,włoski,Italian,3,3,śląski,Silesian,4,8,sometimes,150,150,everyday,<9 hours/week,never,unlikely,never,very likely,always,always,very likely,very likely,maybe,very unlikely,likely,very unlikely,maybe,always,"rozmowy z dziadkami nie podejmę w związku z tym, że już nie żyją.",very often,very often,,17 lat,"Zrozumiałem, że kultura kaszubska jest inna od polskiej i aby ją w pełni w swoim życiu zachować potrzebowałem poznać język moich przodków, który słyszałem w swojej wsi, ale nie potrafiłem w nim mówić.",,9,they don't like it,they don't like it,> one person,> one person,,always,never,False,,constructively,strongly agree,strongly agree,strongly agree,
6,23,,male,1996-04-19,1996-04,csb,Gdańsk,54.349722,18.653611,FALSE,Kraków,50.061781,19.93737,not finished Bachelor,True,Gdańsk,3+,True,Wyjechałem na studia do Krakowa i od prawie 5 lat w nim mieszkam.,probably yes,polish,,,,6,8,none,-,9,9,True,angielski,English,9,9,niemiecki,German,3,5,,,,,,,,,,,,,sometimes,2,2,rarely,1-2 hours/week,very likely,likely,likely,very likely,maybe,very unlikely,very unlikely,never,never,very unlikely,never,never,maybe,likely,"Kilka z pytań i odpowiedzi wymaga doprecyzowania: z dziadkami tak, gdyby żyli. Z sąsiadami raczej nie, gdyż nie mieszkam na kaszubach, w kościele nie - nie jestem wierzący.",sometimes,never,strongly agree,"Od trzech, czterech lat",Chciałem lepiej poznać literaturę kaszubską oraz nauczyć się płynnie mówić i pisać w języku moich dziadków.,3,5,they strongly support it,they strongly support it,no one,> one person,"Między innymi moja była partnerka nie chciała żebym mówił po kaszubsku, a najlepiej żebym nic na ten temat nie wspominał i ""zajął się czymś co istnieje i jest pożyteczne""",often,sometimes,False,,hurtfully,agree,agree,strongly agree,
7,24,,male,1992-07-31,1992-07,csb,Banino,54.390007,18.395937,TRUE,Banino,54.390007,18.395937,finished Bachelor,Banino,Banino,3+,False,,definitely yes,kashubian,,,,9,9,c2,"Sama formalna edukacja w kwestii języka kaszubskiego nie do końca oddała to, czego tak naprawdę nauczyłem się sam i także z pomocą kilku innych osób. Mnie nauczono języka literackiego, który niestety odbiega od żywego języka, którym posługują się nasi wujowie, dziadkowie, kuzyni, przyjaciele. Oprócz znajomości leterackiej mowy sam nauczyłem się mowy dialektalné, nie tylko od rodziców i dziadków ale także z tekstów spisanych przez Lorentza.",9,9,True,Japoński (jestem w fazie uczenia się),Japanese,3,3,Rosyjski (jestem w fazie uczenia się),Russian,3,3,,,,,,,,,,,,,always,70,70,most of the time,3-4 hours/week,always,always,never,always,always,always,always,likely,very likely,always,always,always,always,always,,always,always,Brak,Każdego dnia,"- Moje serce jest kaszubskie, umysł także zaś język jest moim językiem narodowym.",120%,8,they strongly support it,they strongly support it,no one,no one,,always,never,False,,never,strongly agree,strongly agree,strongly agree,Nie
8,25,,male,2000-05-22,2000-05,csb,Kościerzyna,54.121111,17.9775,TRUE,Brusy,53.886667,17.717778,not finished Bachelor,True,Brusy,1,False,,definitely yes,polish,,,,8,9,b2,"Myślę, że nie. Większość ""kaszubskiego"" nauczyłem się poza szkołą.",8,9,True,angielski,English,6,5,Niemiecki,German,6,5,,,,,,,,,,,,,sometimes,40,40,everyday,<9 hours/week,unlikely,very unlikely,likely,maybe,unlikely,very likely,unlikely,likely,unlikely,very likely,likely,unlikely,very unlikely,always,,often,often,agree,Od 6 lat,"Dzięki Kaszubskiemu Liceum w Brusach, odkryłem skarb jakim jest język kaszubski a co najważniejsze tożsamość, że jestem Kaszub.",9,9,they support it,they like it,no one,one person,,always,never,False,,constructively,agree,agree,strongly agree,Wiedno Kaszëbë
9,26,,female,1994-09-21,1994-09,csb,Luzino,54.565692,18.108338,TRUE,Luzino,54.565692,18.108338,finished Master,True,Luzino,3+,False,,definitely yes,polish,,,,4,8,none,Nie dotyczy.,9,9,True,Język angielski,English,9,9,Język niemiecki,German,3,6,,,,,,,,,,,,,very often,6,6,a few times per week,>1 hour/week,very likely,likely,maybe,likely,very likely,unlikely,unlikely,likely,unlikely,likely,unlikely,very unlikely,very unlikely,very unlikely,,sometimes,never,strongly agree,15 lat,"Chciałam lepiej porozumiewać się z moją rodziną, głównie dziadkami. 
Zaczęłam pracę w kaszubskiej szkole, więc moje zainteresowanie tym językiem wzrosło.",6,4,they support it,they like it,no one,no one,,very often,never,False,,constructively,agree,agree,strongly agree,
