nespomila_uid,manual_uid,nsw_t1_uid,nsw_t2_uid
,70120220,subject-2017120220,subject-2018092719
103,70120213,subject-2017120213,subject-2018092216
,70120217,subject-2017120217,
44,80100419,subject-2018100419,
,70112612,subject-2017112612,
,70120416,subject-2017120416,
,70120114,subject-2017120114,
,70120219,subject-2017120219,subject-2018092819
,70112817,subject-2017112817,
104,80092130,Subject-201809211300,
,70120521,subject-2017120521,subject-20180925
,70120216,subject-2017120216,
100,70112622,subject-2017112622,subject-2018092621
,70120214,subject-2017120214,subject-201809241630
,70112615,subject-2017112615,subject-2018092618
