node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,leaf
maya1287,core1254,west2865,kanj1261,kanj1262,kanj1263,,,,,,,,,,,,,,,,,,popt1235
indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,midl1245,shau1239,indo1322,,,,,,,,,,,,,,,doma1258
aust1307,mala1545,bima1248,flor1240,sumb1242,hawu1234,,,,,,,,,,,,,,,,,,sabu1255
aust1307,mala1545,cent2080,,,,,,,,,,,,,,,,,,,,,pamp1243
indo1319,clas1257,indo1320,iran1269,cent2317,sogd1247,sogd1248,sogd1246,,,,,,,,,,,,,,,,sogd1245
sino1245,burm1265,lolo1265,,,,,,,,,,,,,,,,,,,,,ugon1239
araw1281,sout3131,kamp1244,prea1240,,,,,,,,,,,,,,,,,,,,noma1263
aust1307,mala1545,basa1291,grea1283,sout2919,maan1240,,,,,,,,,,,,,,,,,,paku1239
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,grea1289,west2841,ruta1242,nort3228,nkor1240,nkor1241,,,,,,,,,,chig1238
chib1249,core1252,isth1243,west2641,vice1244,,,,,,,,,,,,,,,,,,,brib1243
aust1307,mala1545,east2712,ocea1241,west2818,papu1253,nucl1744,nort2848,bwai1241,bwai1244,,,,,,,,,,,,,,idun1242
nucl1710,jeee1236,jese1235,,,,,,,,,,,,,,,,,,,,,pana1307
afro1255,chad1250,bium1280,nort3156,koto1267,koto1263,,,,,,,,,,,,,,,,,,lagw1237
indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,sout3158,sard1256,sard1257,,,,,,,,,,,,,,camp1261
aust1305,khas1273,pala1352,west2791,pala1336,,,,,,,,,,,,,,,,,,,shwe1236
afro1255,cush1243,sout3054,west2720,nort3164,iraq1240,,,,,,,,,,,,,,,,,,goro1270
aust1307,mala1545,tani1260,east2900,nabi1238,,,,,,,,,,,,,,,,,,,irar1238
cent2225,sara1341,sbbo1237,nucl1719,ferg1237,gula1266,mere1247,,,,,,,,,,,,,,,,,mere1241
afro1255,chad1250,west2785,west2714,west2799,west2717,kofy1243,,,,,,,,,,,,,,,,,cakf1236
cent2225,sara1341,sbbo1237,nucl1719,sara1349,cent2044,sara1345,gore1234,,,,,,,,,,,,,,,,kaba1281
maya1287,core1254,west2865,kanj1261,kanj1262,kanj1263,,,,,,,,,,,,,,,,,,qanj1241
aust1307,mala1545,east2712,ocea1241,nort3195,nort3205,maew1234,,,,,,,,,,,,,,,,,mari1426
afro1255,semi1276,west2786,cent2236,arab1394,arab1395,egyp1251,egyp1254,suda1235,east2897,,,,,,,,,,,,,,suda1237
indo1319,clas1257,grae1234,gree1276,east2798,cent2404,koin1234,mode1266,nucl1783,,,,,,,,,,,,,,,mode1248
siou1252,core1249,miss1252,,,,,,,,,,,,,,,,,,,,,crow1244
aust1307,mala1545,nort3253,nort3171,kela1257,,,,,,,,,,,,,,,,,,,lund1271
coch1271,yuma1250,gene1244,rive1260,,,,,,,,,,,,,,,,,,,,mari1440
jiva1245,shua1256,,,,,,,,,,,,,,,,,,,,,,achu1248
mand1469,west2780,mand1431,sout2842,mend1263,loma1259,,,,,,,,,,,,,,,,,,loma1260
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,nort3376,inne1246,kele1261,kele1263,sopo1239,sole1244,lebo1246,nyal1255,,,,,,,,,belu1239
aust1307,mala1545,east2712,ocea1241,west2818,nort3206,nger1241,viti1243,belr1234,bell1262,nucl1510,,,,,,,,,,,,,mari1428
afro1255,cush1243,east2699,,,,,,,,,,,,,,,,,,,,,daha1245
